idnum,href,full_link,name
207,/wiki/Marquesas,https://en.wikipedia.org/wiki/Marquesas,MARQUESAS
208,/wiki/Aranui_5,https://en.wikipedia.org/wiki/Aranui_5,ARANUI 5
210,/wiki/MV_Arcadia_(2004),https://en.wikipedia.org/wiki/MV_Arcadia_(2004),MV ARCADIA (2004)
213,/wiki/Tallinn,https://en.wikipedia.org/wiki/Tallinn,TALLINN
215,/wiki/Arosa_Kulm,https://en.wikipedia.org/wiki/Arosa_Kulm,AROSA KULM
218,/wiki/Arosa_Star,https://en.wikipedia.org/wiki/Arosa_Star,AROSA STAR
220,/wiki/Borinquen_(1931),https://en.wikipedia.org/wiki/Borinquen_(1931),BORINQUEN (1931)
224,/wiki/MV_Artania,https://en.wikipedia.org/wiki/MV_Artania,MV ARTANIA
225,/wiki/Phoenix_Reisen,https://en.wikipedia.org/wiki/Phoenix_Reisen,PHOENIX REISEN
227,/wiki/Tallinn,https://en.wikipedia.org/wiki/Tallinn,TALLINN
228,/wiki/MS_Arvia,https://en.wikipedia.org/wiki/MS_Arvia,MS ARVIA
233,/wiki/COVID-19_pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic,COVID-19 PANDEMIC
236,/wiki/Marseille,https://en.wikipedia.org/wiki/Marseille,MARSEILLE
237,/wiki/MS_Shota_Rustaveli,https://en.wikipedia.org/wiki/MS_Shota_Rustaveli,MS SHOTA RUSTAVELI
240,/wiki/MS_Astor,https://en.wikipedia.org/wiki/MS_Astor,MS ASTOR
243,/wiki/Fremantle,https://en.wikipedia.org/wiki/Fremantle,FREMANTLE
244,/wiki/MV_Astoria,https://en.wikipedia.org/wiki/MV_Astoria,MV ASTORIA
245,/wiki/Brock_Pierce,https://en.wikipedia.org/wiki/Brock_Pierce,BROCK PIERCE
247,/wiki/Thames_Estuary,https://en.wikipedia.org/wiki/Thames_Estuary,THAMES ESTUARY
248,/wiki/Astoria_Grande,https://en.wikipedia.org/wiki/Astoria_Grande,ASTORIA GRANDE
250,/wiki/MS_Asuka_II,https://en.wikipedia.org/wiki/MS_Asuka_II,MS ASUKA II
251,/wiki/Nippon_Yusen_Kaisha,https://en.wikipedia.org/wiki/Nippon_Yusen_Kaisha,NIPPON YUSEN KAISHA
253,/wiki/Kobe,https://en.wikipedia.org/wiki/Kobe,KOBE
254,/wiki/Atlantic_Star_(cruise_ship),https://en.wikipedia.org/wiki/Atlantic_Star_(cruise_ship),ATLANTIC STAR (CRUISE SHIP)
257,/wiki/MV_Aurora_(2000),https://en.wikipedia.org/wiki/MV_Aurora_(2000),MV AURORA (2000)
260,/wiki/Santorini,https://en.wikipedia.org/wiki/Santorini,SANTORINI
261,/wiki/SS_Ivory,https://en.wikipedia.org/wiki/SS_Ivory,SS IVORY
264,/wiki/Genoa,https://en.wikipedia.org/wiki/Genoa,GENOA
265,/wiki/Azamara_Journey,https://en.wikipedia.org/wiki/Azamara_Journey,AZAMARA JOURNEY
266,/wiki/Azamara,https://en.wikipedia.org/wiki/Azamara,AZAMARA
270,/wiki/Fremantle,https://en.wikipedia.org/wiki/Fremantle,FREMANTLE
271,/wiki/Azamara_Pursuit,https://en.wikipedia.org/wiki/Azamara_Pursuit,AZAMARA PURSUIT
272,/wiki/Azamara,https://en.wikipedia.org/wiki/Azamara,AZAMARA
274,/wiki/Swan_Hellenic,https://en.wikipedia.org/wiki/Swan_Hellenic,SWAN HELLENIC
276,/wiki/Fathom_(cruise_line),https://en.wikipedia.org/wiki/Fathom_(cruise_line),FATHOM (CRUISE LINE)
277,/wiki/Azamara,https://en.wikipedia.org/wiki/Azamara,AZAMARA
279,/wiki/Azamara_Quest,https://en.wikipedia.org/wiki/Azamara_Quest,AZAMARA QUEST
280,/wiki/Azamara,https://en.wikipedia.org/wiki/Azamara,AZAMARA
282,/wiki/Blue_Moon_Ship,https://en.wikipedia.org/wiki/Blue_Moon_Ship,BLUE MOON SHIP
285,"/wiki/Split,_Croatia","https://en.wikipedia.org/wiki/Split,_Croatia","SPLIT, CROATIA"
286,/wiki/Azura_(ship),https://en.wikipedia.org/wiki/Azura_(ship),AZURA (SHIP)
289,/wiki/Tortola,https://en.wikipedia.org/wiki/Tortola,TORTOLA
290,/wiki/MS_Bahamas_Celebration,https://en.wikipedia.org/wiki/MS_Bahamas_Celebration,MS BAHAMAS CELEBRATION
292,/wiki/MV_Balmoral_(2008),https://en.wikipedia.org/wiki/MV_Balmoral_(2008),MV BALMORAL (2008)
295,/wiki/Antwerp,https://en.wikipedia.org/wiki/Antwerp,ANTWERP
297,/wiki/Companhia_Colonial_de_Navegacao,https://en.wikipedia.org/wiki/Companhia_Colonial_de_Navegacao,COMPANHIA COLONIAL DE NAVEGACAO
